Date,Global,LATINO,REP DOM,Argentina,Bolivia,Brasil,Chile,Colombia,Costa Rica,Ecuador,El Salvador,Guatemala,Honduras,México,Paraguay,Perú,Panamá,Uruguay,Venezuela
2013-06-06,3.33815,3.59231,3.61762,12.03511,3.1338,2.23095,1.65084,1.73498,2.79397,6.27843,3.94157,2.67634,5.66145,2.06448,2.44279,1.70764,1.74556,1.91554,9.78721
2013-06-07,3.2493,3.49939,3.56842,11.87105,3.05286,2.17297,1.63215,1.63995,2.71004,6.25248,4.05785,2.59353,5.73124,1.96322,2.62012,1.62193,1.67832,1.88532,9.31725
2013-06-10,3.30061,3.55644,3.65155,11.8835,3.13042,2.25885,1.66755,1.70423,2.84465,6.22644,4.10318,2.64584,5.8238,1.99406,2.69104,1.64973,1.72774,1.90922,9.42933
2013-06-11,3.50277,3.7456,3.78741,11.98338,3.15286,2.42436,1.82896,1.87549,3.10855,6.53621,4.26911,2.84584,5.84539,2.17195,2.98217,1.80747,1.87432,2.12907,9.83547
2013-06-12,3.43905,3.68323,3.75685,11.99328,3.12167,2.31573,1.76575,1.7355,3.07533,6.50902,4.23484,2.8121,5.81431,2.06547,2.95056,1.69579,1.84404,2.10332,10.01469
2013-06-13,3.34191,3.54707,3.85422,11.91513,3.16938,2.16957,1.67614,1.59421,3.04961,6.31387,4.27987,2.86017,5.86098,1.91946,2.86381,1.61779,1.7903,2.04294,9.38589
2013-06-14,3.29898,3.57537,3.80089,11.97171,3.22593,2.20973,1.68828,1.64334,2.94725,6.36236,4.31881,2.91051,6.07064,1.96946,2.78547,1.64729,1.79293,2.0348,9.40577
2013-06-17,3.292,3.57966,3.74629,11.97865,3.18304,2.19854,1.68247,1.6163,2.81873,6.36508,4.2715,2.86311,6.02944,1.95247,2.74146,1.61088,1.74249,1.94565,9.83301
2013-06-18,3.38316,3.65083,3.74116,12.21092,3.17755,2.27913,1.72314,1.70319,2.81639,6.36769,4.26994,2.85892,6.02438,2.01102,2.7359,1.71732,1.74172,1.96778,10.02333
2013-06-19,3.37681,3.72143,3.70688,12.13003,3.03185,2.37293,1.77049,1.78247,2.85254,6.29541,4.14885,2.84608,5.88154,2.11338,2.59243,1.82314,1.72503,1.93571,10.3895
2013-06-20,3.66761,3.93253,3.91191,12.27435,3.64799,2.54733,1.96692,1.93163,3.01328,6.47612,4.30851,2.98673,5.78332,2.30453,2.62586,1.99424,1.89135,2.14918,10.95091
2013-06-21,3.69576,3.92663,3.98896,12.23055,3.53959,2.58174,1.98841,1.95013,2.91668,6.63962,4.21622,2.88435,5.83299,2.29646,2.51725,1.90813,1.94311,2.22096,10.8819
2013-06-24,3.95316,4.07512,4.33815,12.28573,3.49317,2.70251,2.07217,2.07651,3.10449,6.60614,4.297,3.22082,5.78737,2.47003,2.47157,2.11863,2.09176,2.36878,11.04601
2013-06-25,3.81916,4.00853,4.32748,12.21012,3.47688,2.59769,2.02603,2.04178,3.10692,6.6008,4.28931,3.19895,5.92935,2.42268,2.45397,2.11109,2.09669,2.33964,10.63311
2013-06-26,3.69977,3.92109,4.23011,12.18841,3.51732,2.54052,1.88609,2.01755,3.06585,6.61727,4.32022,3.04494,6.2914,2.35086,2.4934,2.05505,2.13907,2.33082,10.02272
2013-06-27,3.60336,3.8741,4.12739,12.14682,3.15268,2.49139,1.82581,1.99462,3.03499,6.65383,4.33087,3.02201,6.52569,2.29836,2.56513,2.04512,2.16038,2.35398,9.74961
2013-06-28,3.5342,3.83171,4.00805,11.98725,3.1233,2.42504,1.79813,1.927,3.20003,6.65053,4.36245,3.03497,6.49868,2.2317,2.53771,2.00781,2.18088,2.35283,9.76195
2013-07-01,3.47599,3.73375,3.8809,11.89157,3.00144,2.38642,1.77215,1.82825,3.09416,6.6545,4.20693,2.99486,6.51842,2.13478,2.4234,1.92473,2.08481,2.23188,9.52803
2013-07-02,3.41316,3.72133,3.74035,11.99451,3.00678,2.41411,1.78018,1.77885,3.08166,6.65344,4.16463,3.00113,6.69178,2.10713,2.29643,1.86141,2.03086,2.20839,9.62231
2013-07-03,3.46528,3.74322,3.71847,12.04345,2.98693,2.44359,1.79223,1.83411,3.04762,6.64364,4.14522,2.99802,6.67248,2.14025,2.27705,1.90531,2.01194,2.11568,9.72012
2013-07-05,3.36036,3.65521,3.50766,11.88181,2.7612,2.41373,1.82668,1.80019,2.83289,6.58365,3.93302,2.77726,6.45379,2.11432,2.05132,1.85109,1.80345,1.90475,9.57223
2013-07-08,3.49283,3.71961,3.65634,11.94314,3.1187,2.47158,1.81095,1.88881,2.98021,6.62567,3.992,2.88859,6.69461,2.16616,2.25466,1.88988,1.92454,1.9573,9.59663
2013-07-09,3.50427,3.74927,3.6786,11.94083,3.14143,2.48263,1.8179,1.88928,2.9914,6.62472,4.0095,2.93652,6.71617,2.15353,2.2764,1.88622,1.94416,1.96382,9.91242
2013-07-10,3.52311,3.735,3.62673,12.05191,2.93933,2.43723,1.76397,1.8221,2.94133,6.59123,3.9394,2.87489,6.6598,2.11469,2.21673,1.83544,1.91793,1.90188,10.2499
2013-07-11,3.5628,3.78594,3.75151,11.93705,3.06279,2.45868,1.83483,1.84509,3.05477,6.64083,4.04288,2.97084,6.95312,2.19127,2.60867,1.87539,2.01367,1.99723,10.19512
2013-07-12,3.49923,3.73346,3.72859,11.88057,3.04212,2.39765,1.80823,1.76698,3.02625,6.6246,3.99373,2.95134,7.10805,2.12113,2.58822,1.79625,1.97022,1.97875,10.17475
